method_label,lam,alpha_fair,unfairness_level,n_seeds,test_regret_normalized_mean,test_regret_normalized_std,test_fairness_mean,test_fairness_std,test_pred_mse_mean,test_pred_mse_std,avg_cos_dec_pred_mean,avg_cos_dec_pred_std,avg_cos_dec_fair_mean,avg_cos_dec_fair_std,avg_cos_pred_fair_mean,avg_cos_pred_fair_std,stage_wallclock_sec_mean,stage_wallclock_sec_std
FDFL-Scal,5.0,0.5,high,5,0.02235200779873626,0.0032111947326085837,0.0868369715061372,0.0687442306777137,1.4480510614524869,0.17366371197847535,0.3144336028707683,0.04162863622272306,0.04295690814515206,0.025359668146984298,0.12009024779625314,0.05709457394656132,22.299703355800013,0.5074582064441272
FDFL-Scal,0.0,0.5,medium,5,0.01032649968808644,0.0004107384773736499,0.12946390106503353,0.055604011490724865,0.633693766082297,0.04378400846282679,0.26989113051355285,0.018448555961407348,0.05800061713896868,0.041975662718786666,0.26714831707939685,0.03070560234470291,22.49731312700005,0.4493474303263772
FDFL-Scal,0.5,0.5,medium,5,0.0116032439010032,0.0009225072477006688,0.061376703447165136,0.040790587671391224,0.6814401561158698,0.03583849993330912,0.2735262807051941,0.03250602467713416,0.02568450909104858,0.024677594711410185,0.17237621862801555,0.08619095321196171,22.431768538399957,0.8262267636396678
FDFL-Scal,1.0,0.5,medium,5,0.01445070674605034,0.002248487948665723,0.058575231935034125,0.050074479381727044,0.8144120877659378,0.05764639698140958,0.2920145067492157,0.03193467859117034,0.026405357246735005,0.02107916378661364,0.14600940595376113,0.0920838917795165,22.773812164599985,0.29263841354489145
FDFL-Scal,5.0,0.5,medium,5,0.0260514459193103,0.0037449688828494402,0.08875235143829273,0.06727924862922717,1.4055942847739324,0.2001754858227109,0.29337342553683726,0.03932566541107948,0.040706741988673745,0.007020190716860029,0.10039424645271196,0.053799312567429085,22.74765373620003,0.26886007352662367
FDFL-Scal,0.0,0.5,mild,5,0.00999055378754212,0.0005555743134552946,0.09663693839427387,0.05253821505399031,0.6014542172219524,0.038958956974187935,0.2564061252508917,0.013517589246528043,0.03509328817911338,0.02450559098873055,0.20408911494966514,0.049000295230455126,22.97596470819999,0.18152074984101957
FDFL-Scal,0.5,0.5,mild,5,0.011272315264772681,0.0007658659268270077,0.049151022799771106,0.02448472857644673,0.6588868454782304,0.04065466623154508,0.2767102144870652,0.02342638446238997,0.04560877217845432,0.014858914460150455,0.17730941656657706,0.0705359748587175,22.902806171200062,0.2994038097158757
FDFL-Scal,1.0,0.5,mild,5,0.014208346798487839,0.0018740758491738636,0.0473755194295648,0.05407139660310336,0.7771338044657348,0.04582439389687736,0.28766907464892894,0.03378994910323774,0.0157118140875968,0.01608788260043423,0.15917885639512358,0.04416886564001498,22.941492981800003,0.2007506625324919
FDFL-Scal,5.0,0.5,mild,5,0.024822532070721284,0.003941915028516806,0.05235217649023092,0.0151749874915005,1.3179663405586575,0.15572704109601607,0.31304464874904325,0.03444973011116068,0.04367575000107562,0.022201221264862,0.12935194384240928,0.03686818837645429,22.744155231799958,0.3999523299233144
FDFL-Scal,0.0,2.0,high,5,0.07861104686730046,0.010370567749171009,0.1270741681220923,0.06025655681686599,0.7768430316089042,0.0730998419816392,0.11351908544443554,0.044757812424249206,0.011818488874957562,0.03187017126699352,0.365574866431147,0.07850668252663547,20.630684506000126,0.5456010974280378
